IV,DV,F,p,eta_sq,sig
strategy,entropy_mean,8.66,0.0002,0.0337,***
strategy,ppl_mean,8.087,0.0003,0.0315,***
strategy,t1a_mean,0.27,0.7638,0.0011,ns
strategy,sc_mean,3.844,0.022,0.0152,*
strategy,ctr_mean,28.091,0.0,0.1016,***
length,entropy_mean,11.747,0.0,0.0451,***
length,ppl_mean,12.262,0.0,0.047,***
length,t1a_mean,0.45,0.6379,0.0018,ns
length,sc_mean,1.075,0.3422,0.0043,ns
length,ctr_mean,21.711,0.0,0.0803,***
specificity,entropy_mean,10.707,0.0,0.0413,***
specificity,ppl_mean,11.425,0.0,0.044,***
specificity,t1a_mean,0.367,0.693,0.0015,ns
specificity,sc_mean,0.66,0.5171,0.0027,ns
specificity,ctr_mean,16.776,0.0,0.0632,***
vocabulary,entropy_mean,10.707,0.0,0.0413,***
vocabulary,ppl_mean,11.425,0.0,0.044,***
vocabulary,t1a_mean,0.367,0.693,0.0015,ns
vocabulary,sc_mean,0.66,0.5171,0.0027,ns
vocabulary,ctr_mean,16.776,0.0,0.0632,***
syntax,entropy_mean,1.049,0.3061,0.0021,ns
syntax,ppl_mean,0.604,0.4376,0.0012,ns
syntax,t1a_mean,0.315,0.5747,0.0006,ns
syntax,sc_mean,3.185,0.0749,0.0064,ns
syntax,ctr_mean,32.732,0.0,0.0617,***
